0,1
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\1\images\\22.jpg,"[-0.03839182 -0.02470398 -0.03335273 ... -0.03350655 -0.00504049
 -0.03182464]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\1\images\\25.jpg,"[-0.04202573 -0.02644534 -0.02143899 ... -0.00925135 -0.00124752
 -0.00180788]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\1\images\\29.jpg,"[-0.04176794 -0.01925735 -0.02648762 ... -0.01493503  0.00263621
  0.00983422]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\1\images\\35.jpg,"[-0.03785002 -0.02337364 -0.02322624 ... -0.01735591 -0.0083048
 -0.01084974]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\1\images\\39.jpg,"[-0.0264662  -0.02004145 -0.03227387 ... -0.02844149 -0.00858869
 -0.02692093]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\2\images\\22.jpg,"[-0.03839182 -0.02470398 -0.03335273 ... -0.03350655 -0.00504049
 -0.03182464]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\2\images\\25.jpg,"[-0.04202573 -0.02644534 -0.02143899 ... -0.00925135 -0.00124752
 -0.00180788]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\2\images\\29.jpg,"[-0.04176794 -0.01925735 -0.02648762 ... -0.01493503  0.00263621
  0.00983422]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\2\images\\35.jpg,"[-0.03785002 -0.02337364 -0.02322624 ... -0.01735591 -0.0083048
 -0.01084974]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\2\images\\39.jpg,"[-0.0264662  -0.02004145 -0.03227387 ... -0.02844149 -0.00858869
 -0.02692093]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\3\images\\22.jpg,"[-0.03839182 -0.02470398 -0.03335273 ... -0.03350655 -0.00504049
 -0.03182464]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\3\images\\25.jpg,"[-0.04202573 -0.02644534 -0.02143899 ... -0.00925135 -0.00124752
 -0.00180788]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\3\images\\29.jpg,"[-0.04176794 -0.01925735 -0.02648762 ... -0.01493503  0.00263621
  0.00983422]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\3\images\\35.jpg,"[-0.03785002 -0.02337364 -0.02322624 ... -0.01735591 -0.0083048
 -0.01084974]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\3\images\\39.jpg,"[-0.0264662  -0.02004145 -0.03227387 ... -0.02844149 -0.00858869
 -0.02692093]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\4\images\\22.jpg,"[-0.03839182 -0.02470398 -0.03335273 ... -0.03350655 -0.00504049
 -0.03182464]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\4\images\\25.jpg,"[-0.04202573 -0.02644534 -0.02143899 ... -0.00925135 -0.00124752
 -0.00180788]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\4\images\\29.jpg,"[-0.04176794 -0.01925735 -0.02648762 ... -0.01493503  0.00263621
  0.00983422]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\4\images\\35.jpg,"[-0.03785002 -0.02337364 -0.02322624 ... -0.01735591 -0.0083048
 -0.01084974]"
C:\Users\yash chaudhary\Desktop\flipkart\2020-08-09\4\images\\39.jpg,"[-0.0264662  -0.02004145 -0.03227387 ... -0.02844149 -0.00858869
 -0.02692093]"
